record_type,name,organization,role_or_outlet_type,geographic_or_subject_scope,priority_tier,why_relevant,coverage_or_evidence,source_url,public_contact_route,verification_status,verified_on,notes
methodology,District scope,,Scope definition,"Oakland, Berkeley, Alameda, Albany, Emeryville, Piedmont, and most of San Leandro",Reference,"Defines 'current CA-12' as the present East Bay district, not prior districts with the same number.",,https://simon.house.gov/about/about,,Official district source,2026-09-03,Boundary descriptions should be checked against the latest official map for address-level claims.
methodology,Coverage classification,,Research rule,Media inventory,Reference,"Separates direct district/candidate coverage from event, representative, syndicated, or discovery-only mentions.",,,,Research methodology,2026-09-03,A lead is not proof of current employment or interest. Re-verify before outreach.
methodology,Allegation standard,,Editorial safeguard,Public-corruption reporting,Reference,"Outreach should present documents and verifiable facts, distinguish allegations from findings, and avoid asserting criminal conduct without evidence.",,,,Research methodology,2026-09-03,"Fact-check identities, affiliations, dates, primary records, and right-of-reply before publication or outreach."
outlet,KQED,KQED,Public radio / digital newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,Major Bay Area public-interest newsroom with direct CA-12 election coverage.,Direct CA-12 election coverage.,https://www.kqed.org/news/12012363/lateefah-simon-leads-race-to-succeed-barbara-lee-in-californias-12th-congressional-district,https://www.kqed.org/news/staff,Direct article/source located,2026-09-03,
outlet,CBS Bay Area / KPIX,CBS Bay Area / KPIX,Television / digital newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,Large local newsroom with investigative capacity and direct district coverage.,Direct CA-12 general-election coverage.,https://www.cbsnews.com/sanfrancisco/news/california-12th-congressional-district-lateefah-simon-jennifer-tran-2024-election/,,Direct article/source located,2026-09-03,
outlet,KTVU FOX 2,KTVU FOX 2,Television / digital newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,East Bay-focused television newsroom with local investigative reporting.,Covered the open East Bay House seat.,https://www.ktvu.com/news/barbara-lee-house-seat-east-bay,,Direct article/source located,2026-09-03,
outlet,ABC7 Bay Area / KGO,ABC7 Bay Area / KGO,Television / digital newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,Major Bay Area station with investigative unit and election coverage.,Covered 2024 California primary results including CA-12.,https://abc7news.com/post/california-election-results-2024-super-tuesday-ca-senate-race-adam-schiff/14495574/,,Direct article/source located,2026-09-03,
outlet,San Francisco Chronicle,San Francisco Chronicle,Regional newspaper,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,Largest regional print newsroom; politics and investigative teams cover East Bay power.,Published CA-12 endorsement/editorial coverage.,https://www.sfchronicle.com/opinion/editorials/article/lateefah-simon-12th-district-18637606.php,https://www.sfchronicle.com/newsroom_contacts/,Direct article/source located,2026-09-03,
outlet,The Mercury News,The Mercury News,Regional newspaper,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,Bay Area News Group brand with East Bay politics and courts reach.,No indexed direct report tied to present-day CA-12 or Simon was located in this pass; retain as a Bay Area News Group regional lead.,https://www.mercurynews.com/,https://www.bayareanewsgroup.com/submit-news-tip,Direct CA-12 coverage not confirmed - regional lead only,2026-09-03,Shared newsroom with East Bay Times; deduplicate syndicated copies and do not count as confirmed district coverage without a direct article.
outlet,East Bay Times,East Bay Times,Regional newspaper,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,"Core daily newspaper for East Bay local government, courts, and congressional politics.",No indexed direct report tied to present-day CA-12 or Simon was located in this pass; retain as the core daily regional lead for the district.,https://www.eastbaytimes.com/,https://www.bayareanewsgroup.com/submit-news-tip,Direct CA-12 coverage not confirmed - regional lead only,2026-09-03,Do not count as confirmed district coverage without a direct article.
