number	state	created_at	closed_at	merged_at	head_branch	title	url
22248	CLOSED	2026-08-18T22:54:51Z	2026-08-18T23:10:34Z		codex/ios-postmerge-gateway-bye-race	fix(voice): keep local gateway alive on early bye	https://github.com/elizaOS/eliza/pull/22248
22092	CLOSED	2026-08-18T18:57:11Z	2026-08-18T20:49:44Z		nubs/repo-provisioning-submit-security	feat(orchestrator): repository provisioning and credentialed auto-submit (handover draft)	https://github.com/elizaOS/eliza/pull/22092
21835	CLOSED	2026-08-18T06:33:02Z	2026-08-18T20:51:03Z		nubs/honest-delivery-floors	fix(core): honest delivery floors for toolless planner deaths and coding-work verb coverage	https://github.com/elizaOS/eliza/pull/21835
21834	CLOSED	2026-08-18T06:31:30Z	2026-08-18T20:51:02Z		nubs/opencode-migration	feat(orchestrator)!: opencode → eliza-code migration	https://github.com/elizaOS/eliza/pull/21834
21827	CLOSED	2026-08-18T06:26:47Z	2026-08-18T20:51:01Z		nubs/coding-lane-voice-delivery	feat(orchestrator): model-phrased lane voice and Discord relay interaction projection	https://github.com/elizaOS/eliza/pull/21827
21820	CLOSED	2026-08-18T06:21:18Z	2026-08-18T20:51:01Z		nubs/spawn-lifecycle-correctness	fix(orchestrator): spawn admission and task lifecycle correctness	https://github.com/elizaOS/eliza/pull/21820
21814	CLOSED	2026-08-18T06:13:13Z	2026-08-18T06:26:09Z		nubs/repo-provisioning-submit-security	feat(orchestrator): repository provisioning and credentialed auto-submit, hardened	https://github.com/elizaOS/eliza/pull/21814
21649	CLOSED	2026-08-18T02:22:53Z	2026-08-18T02:28:16Z		nubs/coding-lane-orchestrator-elizacode	feat(orchestrator): coding-lane repo flow, honest lifecycle voice, and full opencode removal	https://github.com/elizaOS/eliza/pull/21649
21638	MERGED	2026-08-18T02:06:43Z	2026-08-18T02:46:26Z	2026-08-18T02:46:26Z	nubs/eliza-code-oneshot-host-baseline	fix(code): the one-shot eliza-code entry captures the host execution baseline	https://github.com/elizaOS/eliza/pull/21638
21637	CLOSED	2026-08-18T02:06:41Z	2026-08-18T02:42:07Z		nubs/honest-replies-on-planner-failure	fix(core): honest replies when the planner dies or recovers mid-turn	https://github.com/elizaOS/eliza/pull/21637
21635	MERGED	2026-08-18T02:06:05Z	2026-08-18T02:41:40Z	2026-08-18T02:41:40Z	nubs/stage1-candidate-aliases	fix(core): stage-1 shell and coding candidate inventions resolve to their real umbrellas	https://github.com/elizaOS/eliza/pull/21635
21559	CLOSED	2026-08-18T00:15:58Z	2026-08-18T19:06:15Z		codex/ios-voice-live-activity-20260817	fix(iOS): drive Live Activity from canonical voice session	https://github.com/elizaOS/eliza/pull/21559
21240	MERGED	2026-08-17T10:52:55Z	2026-08-17T11:35:57Z	2026-08-17T11:35:57Z	fix/evidence-final-mile	fix(orchestrator): evidence caps, changeset baselines, near-dup slug veto	https://github.com/elizaOS/eliza/pull/21240
21148	MERGED	2026-08-17T09:57:30Z	2026-08-17T10:05:04Z	2026-08-17T10:05:04Z	fix/content-evidence-for-judge	fix(orchestrator): judge content criteria against orchestrator-read file text	https://github.com/elizaOS/eliza/pull/21148
21133	MERGED	2026-08-17T09:38:28Z	2026-08-17T09:39:11Z	2026-08-17T09:39:11Z	fix/check-surface-boundary	fix(orchestrator): key check inapplicability on real check surfaces	https://github.com/elizaOS/eliza/pull/21133
21127	MERGED	2026-08-17T09:24:20Z	2026-08-17T09:25:07Z	2026-08-17T09:25:07Z	fix/static-deliverable-check-criteria	fix(orchestrator): vacuous checks for static deliverables; guard boot-window escalations	https://github.com/elizaOS/eliza/pull/21127
21114	MERGED	2026-08-17T08:53:16Z	2026-08-17T09:08:01Z	2026-08-17T09:08:01Z	fix/quick-app-evidence-starvation	fix(orchestrator): recover deterministic evidence for ledger-less quick-apps	https://github.com/elizaOS/eliza/pull/21114
20969	MERGED	2026-08-17T06:08:36Z	2026-08-17T06:35:40Z	2026-08-17T06:35:40Z	fix/route-stamp-follows-directory	fix(orchestrator): route identity follows the directory, not the phrasing	https://github.com/elizaOS/eliza/pull/20969
20961	MERGED	2026-08-17T06:01:32Z	2026-08-17T06:35:35Z	2026-08-17T06:35:35Z	feat/verifier-producible-evidence	fix(orchestrator): verify against producible evidence, not fabricated demands	https://github.com/elizaOS/eliza/pull/20961
20768	MERGED	2026-08-17T01:12:23Z	2026-08-17T01:12:41Z	2026-08-17T01:12:41Z	fix/nested-subagent-reply-internal	fix(orchestrator): nested sub-agent replies die on a connector send to a synthetic task room	https://github.com/elizaOS/eliza/pull/20768
20759	MERGED	2026-08-17T00:58:37Z	2026-08-17T01:20:11Z	2026-08-17T01:20:11Z	fix/calendar-attendee-sanitize	fix(calendar): drop planner-invented non-email attendees instead of failing the whole create	https://github.com/elizaOS/eliza/pull/20759
20750	MERGED	2026-08-17T00:28:03Z	2026-08-17T00:30:03Z	2026-08-17T00:30:03Z	fix/terminal-failure-authority-composes	fix(core): coding-mode failure authority erased shipped deliverables (fixes #20738)	https://github.com/elizaOS/eliza/pull/20750
20737	MERGED	2026-08-16T23:20:37Z	2026-08-17T00:05:07Z	2026-08-17T00:05:07Z	fix/acp-child-host-baseline	fix(code): SHELL dead in eliza-code ACP sub-agents — child never captures the host execution baseline	https://github.com/elizaOS/eliza/pull/20737
20734	MERGED	2026-08-16T23:05:41Z	2026-08-17T00:05:04Z	2026-08-17T00:05:04Z	fix/spawn-agent-durable-record	fix(orchestrator): persist a durable restart owner for spawn_agent sessions	https://github.com/elizaOS/eliza/pull/20734
20729	CLOSED	2026-08-16T22:52:47Z	2026-08-16T23:01:07Z		fix/spawn-env-boot-baseline	fix(core): restore boot-time PATH/HOME/SHELL into sanitized spawn envs	https://github.com/elizaOS/eliza/pull/20729
20718	MERGED	2026-08-16T22:41:38Z	2026-08-16T22:50:04Z	2026-08-16T22:50:04Z	fix/pin-tei-image-digest	fix(cloud): pin embeddings sidecar to immutable TEI digest (P2 HOLD disposition)	https://github.com/elizaOS/eliza/pull/20718
20713	MERGED	2026-08-16T22:20:10Z	2026-08-16T22:58:31Z	2026-08-16T22:58:31Z	fix/staging-embeddings-publication-20710	fix(cloud): publish authenticated staging embeddings	https://github.com/elizaOS/eliza/pull/20713
20634	CLOSED	2026-08-16T19:45:58Z	2026-08-16T20:10:41Z		config/staging-local-embeddings-url	config(cloud): point staging Worker at the self-hosted embeddings sidecar	https://github.com/elizaOS/eliza/pull/20634
20627	MERGED	2026-08-16T19:38:54Z	2026-08-16T19:39:05Z	2026-08-16T19:39:05Z	parity/p1-local-embeddings	feat(cloud): self-hosted 384-dim embeddings — TEI sidecar + Worker routing + honest pricing (parity P1)	https://github.com/elizaOS/eliza/pull/20627
20624	MERGED	2026-08-16T19:26:06Z	2026-08-16T19:26:17Z	2026-08-16T19:26:17Z	fix/managed-config-local-embeddings	feat(cloud): fresh managed agents default to local 384-d embeddings	https://github.com/elizaOS/eliza/pull/20624
20600	MERGED	2026-08-16T18:31:12Z	2026-08-16T18:32:01Z	2026-08-16T18:32:01Z	pr/owner-verb-noun-aliases	fix(core): owner verb-noun candidate permutations resolve to their umbrellas instead of collapsing the planner surface	https://github.com/elizaOS/eliza/pull/20600
20510	MERGED	2026-08-16T12:01:05Z	2026-08-16T12:02:53Z	2026-08-16T12:02:53Z	pr/parked-task-escalation	fix(orchestrator,agent): parked-unverifiable tasks re-engage or escalate, and escalation reaches connector-primary owners	https://github.com/elizaOS/eliza/pull/20510
20509	MERGED	2026-08-16T12:01:02Z	2026-08-16T12:02:11Z	2026-08-16T12:02:11Z	pr/task-status-truth-chain	fix(orchestrator): task-status truth chain — duplicate-spawn guard, in-flight grounding, filter disclosure, token-AND search	https://github.com/elizaOS/eliza/pull/20509
20501	MERGED	2026-08-16T11:09:33Z	2026-08-16T11:09:42Z	2026-08-16T11:09:42Z	fix/completion-relay-deliverable	fix(orchestrator): completion relay leads with the verified deliverable URLs	https://github.com/elizaOS/eliza/pull/20501
20484	MERGED	2026-08-16T10:07:24Z	2026-08-16T10:08:18Z	2026-08-16T10:08:18Z	pr/web-search-surface-chain	fix(core,pa): restore the web-search planner surface — calendar context de-claim, SEARCH candidate aliases, alias-aware privacy survivor check	https://github.com/elizaOS/eliza/pull/20484
20348	MERGED	2026-08-16T03:52:25Z	2026-08-16T03:52:35Z	2026-08-16T03:52:35Z	fix/composite-context-representation	fix(core): guarantee selected-context representation on the narrowed planner surface	https://github.com/elizaOS/eliza/pull/20348
20346	CLOSED	2026-08-16T03:50:04Z	2026-08-16T05:47:22Z		fix/mac-local-runtime-status-20260815	fix(ui): follow explicit runtime for realtime socket	https://github.com/elizaOS/eliza/pull/20346
20247	MERGED	2026-08-15T23:13:21Z	2026-08-15T23:24:31Z	2026-08-15T23:24:31Z	fix/terminal-only-grounded-decline	fix(core): ship stage-1's grounded decline when the planner surface is terminal-only	https://github.com/elizaOS/eliza/pull/20247
20221	MERGED	2026-08-15T21:51:29Z	2026-08-15T23:17:26Z	2026-08-15T23:17:26Z	nubs/carry-spawn-env-restore	fix(security): pin host execution to validated boot PATH	https://github.com/elizaOS/eliza/pull/20221
20220	MERGED	2026-08-15T21:51:27Z	2026-08-15T21:52:08Z	2026-08-15T21:52:08Z	nubs/carry-residuals-baseline	fix(orchestrator): baseline untracked paths at spawn so the residuals gate does not block lived-in workdirs	https://github.com/elizaOS/eliza/pull/20220
20219	MERGED	2026-08-15T21:51:26Z	2026-08-15T21:51:39Z	2026-08-15T21:51:39Z	nubs/carry-spawn-grounding	fix(orchestrator): ground async spawn results so the planner cannot fabricate sub-agent output	https://github.com/elizaOS/eliza/pull/20219
20215	MERGED	2026-08-15T21:44:10Z	2026-08-15T21:55:55Z	2026-08-15T21:55:55Z	fix/main-cloud-secret-bootstrap-order	fix(cloud): carry voice secret bootstrap to main	https://github.com/elizaOS/eliza/pull/20215
20208	MERGED	2026-08-15T21:32:16Z	2026-08-15T21:39:42Z	2026-08-15T21:39:42Z	fix/cloud-secret-bootstrap-order	fix(cloud): bootstrap voice secret before verification	https://github.com/elizaOS/eliza/pull/20208
19956	MERGED	2026-08-15T08:42:03Z	2026-08-15T08:52:50Z	2026-08-15T08:52:50Z	nubs/trajectory-recorder-price-expectation	test(core): align trajectory-recorder cost expectation with canonical cerebras rates	https://github.com/elizaOS/eliza/pull/19956
19698	MERGED	2026-08-15T01:11:42Z	2026-08-15T02:01:34Z	2026-08-15T02:01:34Z	fix/lenient-recurrence-scope	fix(plugin-calendar): planner debris in recurrenceScope degrades to unset	https://github.com/elizaOS/eliza/pull/19698
19684	MERGED	2026-08-15T00:46:37Z	2026-08-15T01:53:44Z	2026-08-15T01:53:44Z	fix/trajectory-provider-completeness	fix(agent): retain bounded trajectory provider completeness	https://github.com/elizaOS/eliza/pull/19684
19631	CLOSED	2026-08-14T21:27:58Z	2026-08-15T02:21:45Z		feat/cloud-default-eliza-voice	feat(cloud): give the signup default Eliza a real voice	https://github.com/elizaOS/eliza/pull/19631
