field,value
campaign_id,00000000-0000-4000-8000-000000000011
campaign_name,Summer Launch
platform,meta
provider_campaign_id,meta-123
ad_account_id,00000000-0000-4000-8000-000000000012
app_id,
objective,traffic
status,active
date_start,2026-07-01T00:00:00.000Z
date_end,2026-07-02T00:00:00.000Z
spend_amount,12.34
spend_currency,USD
spend_credits,13.57
spend_source,transactions
impressions,1000
clicks,50
conversions,5
provider_conversions,4
first_party_conversions,1
ctr,0.05
cpc,0.2468
cpm,12.34
conversion_rate,0.1
conversion_value,25
roas,0
budget_type,daily
budget_amount,100
budget_currency,USD
credits_allocated,110
credits_spent,13.57
attribution_conversions,5
attribution_provider_conversions,4
attribution_first_party_conversions,1
attribution_conversion_value,25
attribution_source,first_party_attribution
generated_at,2026-07-03T00:00:00.000Z
